,batter_name,pitcher_name
0,Mike Trout,Chris Sale
3,Rafael Devers,Dillon Peters
5,J.D. Martinez,Dillon Peters
7,Xander Bogaerts,Dillon Peters
9,Mookie Betts,Dillon Peters
11,Andrew Benintendi,Dillon Peters
12,Shohei Ohtani,Chris Sale
15,Michael Chavis,Dillon Peters
16,Kole Calhoun,Chris Sale
18,Albert Pujols,Chris Sale
20,David Fletcher,Chris Sale
22,Justin Upton,Chris Sale
25,Sam Travis,Dillon Peters
26,Luis Rengifo,Chris Sale
28,Wilfredo Tovar,Chris Sale
31,Sandy Leon,Dillon Peters
32,Max Stassi,Chris Sale
35,Charlie Blackmon,Eric Lauer
37,Trevor Story,Eric Lauer
38,Fernando Tatis Jr.,Jon Gray
41,Nolan Arenado,Eric Lauer
43,Daniel Murphy,Eric Lauer
45,Ryan McMahon,Eric Lauer
46,Manny Machado,Jon Gray
48,Eric Hosmer,Jon Gray
51,Ian Desmond,Eric Lauer
52,Hunter Renfroe,Jon Gray
54,Wil Myers,Jon Gray
56,Josh Naylor,Jon Gray
59,Garrett Hampson,Eric Lauer
60,Francisco Mejia,Jon Gray
63,Tony Wolters,Eric Lauer
64,Luis Urias,Jon Gray
66,Nelson Cruz,Mike Clevinger
69,Francisco Lindor,Kyle Gibson
70,Max Kepler,Mike Clevinger
73,Carlos Santana,Kyle Gibson
75,Oscar Mercado,Kyle Gibson
77,Jose Ramirez,Kyle Gibson
78,Miguel Sano,Mike Clevinger
81,Jason Kipnis,Kyle Gibson
82,Eddie Rosario,Mike Clevinger
85,Yasiel Puig,Kyle Gibson
86,Jorge Polanco,Mike Clevinger
89,Franmil Reyes,Kyle Gibson
91,Roberto Perez,Kyle Gibson
93,Tyler Naquin,Kyle Gibson
94,Luis Arraez,Mike Clevinger
96,Jason Castro,Mike Clevinger
98,Ehire Adrianza,Mike Clevinger
100,Marwin Gonzalez,Mike Clevinger
103,Freddie Freeman,Elieser Hernandez
105,Josh Donaldson,Elieser Hernandez
107,Ozzie Albies,Elieser Hernandez
109,Adam Duvall,Elieser Hernandez
110,Brian Anderson,Dallas Keuchel
112,Jon Berti,Dallas Keuchel
115,Ender Inciarte,Elieser Hernandez
117,Brian McCann,Elieser Hernandez
118,Harold Ramirez,Dallas Keuchel
120,Garrett Cooper,Dallas Keuchel
123,Johan Camargo,Elieser Hernandez
124,Starlin Castro,Dallas Keuchel
126,Jorge Alfaro,Dallas Keuchel
128,Martin Prado,Dallas Keuchel
130,Lewis Brinson,Dallas Keuchel
133,Javier Baez,Alex Wood
135,Anthony Rizzo,Alex Wood
137,Kris Bryant,Alex Wood
139,Jason Heyward,Alex Wood
140,Eugenio Suarez,Cole Hamels
143,Ian Happ,Alex Wood
144,Nick Senzel,Cole Hamels
146,Joey Votto,Cole Hamels
148,Aristides Aquino,Cole Hamels
150,Jose Iglesias,Cole Hamels
152,Phillip Ervin,Cole Hamels
155,Jonathan Lucroy,Alex Wood
156,Kyle Farmer,Cole Hamels
158,Jose Peraza,Cole Hamels
161,DJ LeMahieu,Thomas Pannone
163,Mike Tauchman,Thomas Pannone
165,Didi Gregorius,Thomas Pannone
167,Cameron Maybin,Thomas Pannone
169,Aaron Judge,Thomas Pannone
171,Brett Gardner,Thomas Pannone
172,Bo Bichette,Domingo German
174,Cavan Biggio,Domingo German
176,Freddy Galvis,Domingo German
178,Randal Grichuk,Domingo German
180,Teoscar Hernandez,Domingo German
182,Justin Smoak,Domingo German
185,Kyle Higashioka,Thomas Pannone
187,Breyvic Valera,Thomas Pannone
188,Reese McGuire,Domingo German
191,Brandon Dixon,Jorge Lopez
193,Niko Goodrum,Jorge Lopez
194,Jorge Soler,Matthew Boyd
196,Whit Merrifield,Matthew Boyd
198,Hunter Dozier,Matthew Boyd
201,JaCoby Jones,Jorge Lopez
203,Miguel Cabrera,Jorge Lopez
205,Jake Rogers,Jorge Lopez
207,Harold Castro,Jorge Lopez
208,Cheslor Cuthbert,Matthew Boyd
210,Alex Gordon,Matthew Boyd
213,Jordy Mercer,Jorge Lopez
215,Dawel Lugo,Jorge Lopez
216,Bubba Starling,Matthew Boyd
218,Meibrys Viloria,Matthew Boyd
220,Nicky Lopez,Matthew Boyd
222,Humberto Arteaga,Matthew Boyd
225,Scott Kingery,Madison Bumgarner
227,J.T. Realmuto,Madison Bumgarner
229,Rhys Hoskins,Madison Bumgarner
231,Bryce Harper,Madison Bumgarner
232,Mike Yastrzemski,Aaron Nola
234,Pablo Sandoval,Aaron Nola
237,Jean Segura,Madison Bumgarner
239,Roman Quinn,Madison Bumgarner
240,Austin Slater,Aaron Nola
242,Kevin Pillar,Aaron Nola
245,Cesar Hernandez,Madison Bumgarner
247,Sean Rodriguez,Madison Bumgarner
248,Brandon Belt,Aaron Nola
250,Buster Posey,Aaron Nola
252,Brandon Crawford,Aaron Nola
254,Scooter Gennett,Aaron Nola
